POA_CODE16,Total Households,Population
3797,893,3421
3799,1508,5705
3800,9,2361
3802,6785,24112
3803,2828,10778
3804,2147,7985
3805,15135,56525
3806,13129,47909
3807,1894,6978
3808,802,2920
3809,2029,7113
3810,12665,47324
3812,632,2282
3813,226,872
3814,593,2205
3815,793,2948
3816,726,2683
3818,3756,13780
3820,4227,15474
3821,808,2813
3822,259,968
3823,517,1812
3824,1314,4823
3825,5241,19781
3831,468,1659
3832,59,237
3833,67,487
3835,139,459
3840,4137,16227
3842,1233,4732
3844,7459,28464
3847,604,2144
3850,3741,14525
3851,1260,5533
3852,7,218
3854,398,1346
3856,277,976
3857,115,363
3858,767,2926
3859,232,810
3860,1893,6889
3862,867,3036
3864,61,218
3865,123,428
3869,445,1546
3870,349,1224
3871,754,2792
3873,83,309
3874,155,535
3875,4855,18122
3878,322,1034
3880,1096,3780
3882,324,1045
3885,522,1791
3886,106,368
3887,79,322
3888,854,3269
3889,40,173
3890,74,330
3891,30,111
3892,272,1062
3893,10,23
3895,47,186
3896,98,391
3898,163,1727
3900,39,133
3902,118,377
3903,205,710
3904,410,1382
3909,2049,7841
3910,6244,22146
3911,927,3297
3912,4171,14810
3913,966,3272
3915,2600,9769
3916,256,911
3918,1036,3612
3919,866,3095
3920,77,1278
3921,29,98
3922,1973,7531
3923,151,506
3925,895,3385
3926,909,3121
3927,437,1576
3928,115,381
3929,242,830
3930,4898,17358
3931,6478,23245
3933,291,1063
3934,5105,17788
3936,3090,10605
3937,421,1455
3938,815,2629
3939,3893,14309
3940,1166,4904
3941,3223,11776
3942,613,2195
3943,410,1522
3944,128,384
3945,291,969
3946,59,183
3950,1233,4627
3951,269,972
3953,2044,7533
3954,109,384
3956,697,2822
3957,77,277
3958,73,248
3959,295,1093
3960,633,2358
3962,259,891
3964,39,122
3965,44,192
3966,136,487
3967,40,119
3971,1060,3896
3975,3953,15167
3976,6460,25377
3977,24962,92196
3978,2976,10560
3979,89,311
3980,877,3286
3981,1280,4821
3984,1410,5075
3987,428,1510
3988,277,960
3990,38,102
3991,100,355
3992,270,945
3995,2578,9858
3996,1466,5358
